Subject,Start Date,Start Time,End Date,End Time
必考词 1;必考词 2;必考词 3;必考词 4,2018-07-25,19:00,2018-07-25,23:30
必考词 1;必考词 2;必考词 3;必考词 4,2018-07-26,12:00,2018-07-26,17:30
必考词 5;必考词 6;必考词 7,2018-07-26,19:00,2018-07-26,23:30
必考词 1;必考词 2;必考词 3;必考词 4,2018-07-27,08:00,2018-07-27,12:00
必考词 5;必考词 6;必考词 7,2018-07-27,12:00,2018-07-27,17:30
必考词 8;必考词 9;必考词 10,2018-07-27,19:00,2018-07-27,23:30
必考词 5;必考词 6;必考词 7,2018-07-28,08:00,2018-07-28,12:00
必考词 1;必考词 2;必考词 3;必考词 4;必考词 8;必考词 9;必考词 10,2018-07-28,12:00,2018-07-28,17:30
必考词 11;必考词 12;必考词 13,2018-07-28,19:00,2018-07-28,23:30
必考词 8;必考词 9;必考词 10,2018-07-29,08:00,2018-07-29,12:00
必考词 5;必考词 6;必考词 7;必考词 11;必考词 12;必考词 13,2018-07-29,12:00,2018-07-29,17:30
必考词 14;必考词 15;必考词 16,2018-07-29,19:00,2018-07-29,23:30
必考词 11;必考词 12;必考词 13,2018-07-30,08:00,2018-07-30,12:00
必考词 8;必考词 9;必考词 10;必考词 14;必考词 15;必考词 16,2018-07-30,12:00,2018-07-30,17:30
必考词 17;必考词 18;必考词 19,2018-07-30,19:00,2018-07-30,23:30
必考词 1;必考词 2;必考词 3;必考词 4;必考词 14;必考词 15;必考词 16,2018-07-31,08:00,2018-07-31,12:00
必考词 11;必考词 12;必考词 13;必考词 17;必考词 18;必考词 19,2018-07-31,12:00,2018-07-31,17:30
必考词 20;必考词 21;必考词 22,2018-07-31,19:00,2018-07-31,23:30
必考词 5;必考词 6;必考词 7;必考词 17;必考词 18;必考词 19,2018-08-01,08:00,2018-08-01,12:00
必考词 14;必考词 15;必考词 16;必考词 20;必考词 21;必考词 22,2018-08-01,12:00,2018-08-01,17:30
必考词 23;必考词 24;必考词 25,2018-08-01,19:00,2018-08-01,23:30
必考词 8;必考词 9;必考词 10;必考词 20;必考词 21;必考词 22,2018-08-02,08:00,2018-08-02,12:00
必考词 17;必考词 18;必考词 19;必考词 23;必考词 24;必考词 25,2018-08-02,12:00,2018-08-02,17:30
必考词 26;基础词 1;基础词 2,2018-08-02,19:00,2018-08-02,23:30
必考词 11;必考词 12;必考词 13;必考词 23;必考词 24;必考词 25,2018-08-03,08:00,2018-08-03,12:00
必考词 20;必考词 21;必考词 22;必考词 26;基础词 1;基础词 2,2018-08-03,12:00,2018-08-03,17:30
基础词 3;基础词 4;基础词 5,2018-08-03,19:00,2018-08-03,23:30
必考词 1;必考词 2;必考词 3;必考词 4;必考词 14;必考词 15;必考词 16;必考词 26;基础词 1;基础词 2,2018-08-04,08:00,2018-08-04,12:00
必考词 23;必考词 24;必考词 25;基础词 3;基础词 4;基础词 5,2018-08-04,12:00,2018-08-04,17:30
基础词 6;基础词 7;基础词 8,2018-08-04,19:00,2018-08-04,23:30
必考词 5;必考词 6;必考词 7;必考词 17;必考词 18;必考词 19;基础词 3;基础词 4;基础词 5,2018-08-05,08:00,2018-08-05,12:00
必考词 26;基础词 1;基础词 2;基础词 6;基础词 7;基础词 8,2018-08-05,12:00,2018-08-05,17:30
基础词 9;基础词 10;基础词 11,2018-08-05,19:00,2018-08-05,23:30
必考词 8;必考词 9;必考词 10;必考词 20;必考词 21;必考词 22;基础词 6;基础词 7;基础词 8,2018-08-06,08:00,2018-08-06,12:00
基础词 3;基础词 4;基础词 5;基础词 9;基础词 10;基础词 11,2018-08-06,12:00,2018-08-06,17:30
基础词 12;基础词 13;基础词 14,2018-08-06,19:00,2018-08-06,23:30
必考词 11;必考词 12;必考词 13;必考词 23;必考词 24;必考词 25;基础词 9;基础词 10;基础词 11,2018-08-07,08:00,2018-08-07,12:00
